property_id,url,property_type,price,rooms,area,state,has_open_fire,property_subtype,postal_code,locality,sale_type,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen
rbu61383,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61383,House,299000.0,3.0,176.0,Normal,,residence,2660.0,hoboken,standard,,0.0,0.0,1.0,,
rbu61403,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu61403,House,439000.0,4.0,189.0,Normal,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,
rbu61404,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu61404,House,264000.0,2.0,107.0,To be renovated,,residence,2610.0,wilrijk,standard,2.0,0.0,1.0,0.0,,
rbu43493,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu43493,House,329000.0,4.0,139.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,1.0,,
rbu50579,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu50579,House,340000.0,2.0,187.0,,,residence,2140.0,borgerhout,standard,,0.0,0.0,1.0,,
rbu61492,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61492,House,499000.0,4.0,246.0,,,residence,2660.0,hoboken,standard,3.0,,1.0,1.0,,
rbu50511,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu50511,House,329000.0,3.0,116.0,Normal,,residence,2610.0,wilrijk,standard,,,0.0,1.0,,
rbu50595,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu50595,House,665000.0,4.0,190.0,Normal,,residence,2600.0,berchem,standard,,,,,,
rbu31064,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu31064,House,399000.0,4.0,166.0,Normal,,residence,2180.0,ekeren,standard,,0.0,1.0,1.0,,
rbu23697,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697,House,364000.0,3.0,165.0,,,residence,2660.0,hoboken,standard,2.0,,0.0,1.0,,
rbu08868,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868,House,795000.0,5.0,535.0,Normal,,residence,2660.0,hoboken,standard,2.0,0.0,1.0,1.0,,
rbu37604,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu37604,House,229000.0,2.0,103.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,0.0,,
rbu07478,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu07478,House,385000.0,4.0,168.0,Normal,,residence,2610.0,wilrijk,standard,,,,,,
rbu43494,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu43494,House,335000.0,3.0,155.0,Excellent,,residence,2180.0,ekeren,standard,2.0,0.0,0.0,1.0,,
rbs62573,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbs62573,House,349000.0,5.0,181.0,To be renovated,,residence,2020.0,antwerp,standard,2.0,0.0,1.0,1.0,,Partially equipped
rbs93664,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbs93664,House,295000.0,3.0,131.0,Excellent,,residence,2030.0,antwerp,standard,3.0,,1.0,1.0,No,
rbs60539,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs60539,House,320000.0,3.0,129.0,,,residence,2060.0,antwerp,standard,2.0,,,,,
rbt79476,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbt79476,House,329000.0,3.0,126.0,,,residence,2030.0,antwerp,standard,2.0,,1.0,1.0,,
rbt96439,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt96439,House,299000.0,3.0,130.0,Normal,,residence,2020.0,antwerp,standard,2.0,0.0,1.0,1.0,,
rbu43470,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43470,House,480000.0,3.0,122.0,New,,residence,2018.0,antwerp,standard,3.0,0.0,1.0,1.0,,
