,property_id,url,property_type,price,rooms,area,state,has_open_fire,property_subtype,postal_code,locality,sale_type,facades_number,is_furnished,has_terrace,has_garden,has_swimming_pool,has_equipped_kitchen,price_per_m2,log_price_m2,cluster,is_luxurious
0,rbu61383,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61383,House,299000.0,3.0,176.0,Normal,,residence,2660.0,hoboken,standard,,0.0,0.0,1.0,,,1698.8636363636363,7.437714857334671,0.0,False
1,rbu61403,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu61403,House,439000.0,4.0,189.0,Normal,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,,2322.7513227513227,7.750507676997666,0.0,False
2,rbu61404,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu61404,House,264000.0,2.0,107.0,To be renovated,,residence,2610.0,wilrijk,standard,2.0,0.0,1.0,0.0,,,2467.2897196261683,7.810875547666547,0.0,False
3,rbu43493,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu43493,House,329000.0,4.0,139.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,1.0,,,2366.906474820144,7.769339096616817,0.0,False
4,rbu50579,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu50579,House,340000.0,2.0,187.0,,,residence,2140.0,borgerhout,standard,,0.0,0.0,1.0,,,1818.1818181818182,7.505592279737757,0.0,False
5,rbu61492,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61492,House,499000.0,4.0,246.0,,,residence,2660.0,hoboken,standard,3.0,,1.0,1.0,,,2028.4552845528456,7.615029838801293,0.0,False
6,rbu50511,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu50511,House,329000.0,3.0,116.0,Normal,,residence,2610.0,wilrijk,standard,,,0.0,1.0,,,2836.206896551724,7.950222838641144,0.0,False
7,rbu50595,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu50595,House,665000.0,4.0,190.0,Normal,,residence,2600.0,berchem,standard,,,,,,,3500.0,8.160518247477505,0.0,False
8,rbu31064,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu31064,House,399000.0,4.0,166.0,Normal,,residence,2180.0,ekeren,standard,,0.0,1.0,1.0,,,2403.614457831325,7.784728907515457,0.0,False
9,rbu23697,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697,House,364000.0,3.0,165.0,,,residence,2660.0,hoboken,standard,2.0,,0.0,1.0,,,2206.060606060606,7.698963672718297,0.0,False
10,rbu08868,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868,House,795000.0,5.0,535.0,Normal,,residence,2660.0,hoboken,standard,2.0,0.0,1.0,1.0,,,1485.981308411215,7.303830646740463,1.0,True
11,rbu37604,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu37604,House,229000.0,2.0,103.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,0.0,,,2223.3009708737864,7.706748294306741,0.0,False
12,rbu07478,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu07478,House,385000.0,4.0,168.0,Normal,,residence,2610.0,wilrijk,standard,,,,,,,2291.6666666666665,7.737034633866663,0.0,False
13,rbu43494,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu43494,House,335000.0,3.0,155.0,Excellent,,residence,2180.0,ekeren,standard,2.0,0.0,0.0,1.0,,,2161.2903225806454,7.678460693887957,0.0,False
14,rbs62573,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbs62573,House,349000.0,5.0,181.0,To be renovated,,residence,2020.0,antwerp,standard,2.0,0.0,1.0,1.0,,Partially equipped,1928.1767955801106,7.564330169918739,0.0,False
15,rbs93664,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbs93664,House,295000.0,3.0,131.0,Excellent,,residence,2030.0,antwerp,standard,3.0,,1.0,1.0,No,,2251.908396946565,7.719533312120806,0.0,False
16,rbs60539,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs60539,House,320000.0,3.0,129.0,,,residence,2060.0,antwerp,standard,2.0,,,,,,2480.6201550387595,7.816263870414237,0.0,False
17,rbt79476,https://immovlan.be/en/detail/residence/for-sale/2030/antwerp/rbt79476,House,329000.0,3.0,126.0,,,residence,2030.0,antwerp,standard,2.0,,1.0,1.0,,,2611.1111111111113,7.867531122796031,0.0,False
18,rbt96439,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbt96439,House,299000.0,3.0,130.0,Normal,,residence,2020.0,antwerp,standard,2.0,0.0,1.0,1.0,,,2300.0,7.7406644019172415,0.0,False
19,rbu43470,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu43470,House,480000.0,3.0,122.0,New,,residence,2018.0,antwerp,standard,3.0,0.0,1.0,1.0,,,3934.4262295081967,8.277520338150817,0.0,False
20,rbu16446,https://immovlan.be/en/detail/residence/for-sale/2020/antwerp/rbu16446,House,525000.0,3.0,290.0,Normal,,residence,2020.0,antwerp,standard,2.0,0.0,0.0,0.0,,,1810.344827586207,7.501272618593241,0.0,False
21,rbs95130,https://immovlan.be/en/detail/residence/for-sale/2060/antwerp/rbs95130,House,549000.0,7.0,245.0,,,residence,2060.0,antwerp,standard,,,0.0,1.0,No,,2240.816326530612,7.714595509946941,1.0,True
22,rbu16486,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu16486,House,919000.0,5.0,387.0,To be renovated,,residence,2018.0,antwerp,standard,2.0,0.0,1.0,0.0,,,2374.677002583979,7.772616708308043,1.0,True
23,rbu16512,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu16512,House,445000.0,4.0,185.0,Normal,,residence,2660.0,hoboken,standard,,,,,,,2405.4054054054054,7.7854737360700526,0.0,False
24,rbu16914,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu16914,House,279000.0,5.0,119.0,Normal,,residence,2100.0,deurne,standard,2.0,0.0,1.0,1.0,,,2344.5378151260506,7.7598435676919735,0.0,False
25,rbu16729,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu16729,House,399000.0,3.0,220.0,,,residence,2180.0,ekeren,standard,,,,,,,1813.6363636363637,7.5030891495196395,0.0,False
26,rbu16621,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu16621,House,497200.0,3.0,228.0,To be renovated,,residence,2610.0,wilrijk,standard,,,,,,,2180.7017543859647,7.687402009664252,0.0,False
27,rwc40525,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rwc40525,House,459500.0,4.0,168.0,Excellent,,residence,2100.0,deurne,standard,2.0,,1.0,1.0,,,2735.1190476190477,7.9139302413746195,0.0,False
28,rbu19867,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu19867,House,295000.0,2.0,134.0,To be renovated,,residence,2100.0,deurne,standard,2.0,0.0,0.0,1.0,,,2201.492537313433,7.696890835371046,0.0,False
29,rbu20194,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20194,House,349000.0,4.0,180.0,To be renovated,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,,1938.888888888889,7.569870350294354,0.0,False
30,rbu20484,https://immovlan.be/en/detail/residence/for-sale/2018/antwerp/rbu20484,House,490000.0,3.0,117.0,Fully renovated,,residence,2018.0,antwerp,standard,,,,,,,4188.034188034188,8.339986735289054,0.0,False
31,rbu20383,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20383,House,309000.0,3.0,159.0,To be renovated,,residence,2180.0,ekeren,standard,2.0,0.0,1.0,1.0,,,1943.3962264150944,7.572192353659651,0.0,False
32,rbu20382,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu20382,House,309000.0,3.0,167.0,Normal,,residence,2180.0,ekeren,standard,2.0,0.0,1.0,1.0,,,1850.2994011976048,7.523102743463127,0.0,False
33,rbu20695,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20695,House,349000.0,5.0,189.0,,,residence,2660.0,hoboken,standard,2.0,,0.0,1.0,,,1846.5608465608466,7.521080186124922,0.0,False
34,rbu20192,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu20192,House,315000.0,4.0,186.0,Normal,,residence,2170.0,merksem,standard,2.0,0.0,1.0,1.0,,,1693.5483870967741,7.434581244094569,0.0,False
35,rbu20697,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu20697,House,355000.0,7.0,333.0,,,residence,2660.0,hoboken,standard,2.0,,1.0,0.0,,,1066.066066066066,6.971730578477109,1.0,True
37,rbu23166,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23166,House,199000.0,1.0,116.0,To be renovated,,residence,2660.0,hoboken,standard,2.0,0.0,0.0,0.0,,,1715.5172413793102,7.447469912600265,0.0,False
