property_id,url,property_type,price,number_of_bedrooms,municipality_url,livable_surface,vat,number_of_bathrooms,elevator,type_of_heating,state_of_the_property,specific_primary_energy_consumption,number_of_toilets,number_of_facades,flooding_area_type,furnished,availability,currently_leased,certification_electrical_installation,running_water,build_year,total_land_surface,cadastral_income,type_of_glazing,floor_of_appartment,garage,preemption_right,orientation_of_the_front_facade,epc_peb_reference,attic,surface_of_living_room,gas,surface_terrace,access_for_disabled,urbanism_affectation,number_of_parking_places_outdoor_,frontage_width,validity_date_epc_peb,number_of_floors,surface_garden,kitchen_equipment,sewer_connection,surface_kitchen,kitchen_type,surface_bedroom_1,ground_depth,surface_bedroom_2,the_property_and_or_its_surroundings_are_protected_,swimming_pool,alarm,building_permission_granted,surface_bedroom_3,cellar,yearly_total_primary_energy_consumption,buildable_surface,terrain_width_at_the_roadside,number_of_garages,planning_permission_granted,balcony,postal_code,municipality,air_conditioning,g_score,p_score,surface_bedroom_4,water_sensitive_open_space_areas,certification_as_build_,garden_orientation,number_of_parking_spaces_indoor_,rain_water_tank,demarcated_flooding_area,co2_emission,number_of_showers,wash_room,entry_phone,surface_of_the_cellar_s_,fireplace,vat_applied_,certification_electrical_installation_validity,solar_panels,floor_heating,opportunity_for_professional,total_surface,adaptations_for_elderlies,level_e,level_k,garden,terrace,609af22983804603bea6649c89f568ac_pdf,3db7d3c8c5b0480fbe5874334949d458_pdf,61b91a4b75064bec8e90edc245196cae_pdf,0aa4be20656b4c69943fca725b87c92c_jpg,4316af2f60b841a6be640faa59e71f6e_jpg,certification_gasoil_tank,327d87d3989f41d8aa4d1a93f8e28b96_pdf,bf93099045124c7aac67041293f89dd4_pdf,b9ccbcc6a522446085f7b2eb40d1acbe_pdf,55900e2f20d8400d84006a1e784eb1ea_png,aba_44025b030100m000_20250510243_pdf,vgi_uittreksel_2025_06_10_10_35_07z_pdf,vip_00529271_pdf,sbestattest_oude_heirbaan_125_9800_deinze_pdf,certificaat_20201112_0002338682_res_1_pdf
RBU61383,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61383,house,299000.0,3.0,hoboken,176.0,0.0,2.0,0.0,Gas,Normal,297.0,2.0,,no flooding area,0.0,Negotiable,0.0,"yes, certificate in accordance",,,122.0,436.0,,,,0.0,North,20230130-0002794914-RES-1,,29.0,,,,"Residential zone (residential, urban)",,,,,30.0,,,,,,23 m,,,,,,,,,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU61403,https://immovlan.be/en/detail/residence/for-sale/2170/merksem/rbu61403,house,439000.0,4.0,merksem,189.0,0.0,1.0,0.0,Gas,Normal,129.0,3.0,,,0.0,,0.0,"yes, certificate in accordance",,,215.0,,,,,,West,20250912-0003682885-RES-1,,44.0,,,,,,,,,114.0,,,,,,30 m,,,,,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU61404,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu61404,house,264000.0,2.0,wilrijk,107.0,0.0,1.0,0.0,Gas,To be renovated,,1.0,,,0.0,,0.0,"yes, certificate in accordance",,,63.0,,,,,,North,20230823-0002969981-RES-2,,23.0,,,,,,,,,,,,,,,19 m,,,,,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU43493,https://immovlan.be/en/detail/residence/for-sale/2100/deurne/rbu43493,house,329000.0,4.0,deurne,139.0,0.0,1.0,0.0,Gas,To be renovated,419.0,2.0,,no flooding area,0.0,On contract,0.0,"No, certificate does not comply",,,93.0,,,,,0.0,West,202311040003028585RES1,,,,,,"Residential zone (residential, urban)",,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU50579,https://immovlan.be/en/detail/residence/for-sale/2140/borgerhout/rbu50579,house,340000.0,2.0,borgerhout,187.0,0.0,1.0,0.0,Gas,,393.0,2.0,,,0.0,On contract,0.0,"No, certificate does not comply",,,95.0,,,,,1.0,North-west,20250828-0003673910-RES-1,,,,,,"Residential zone (residential, urban)",,,,,,,,,,,20 m,,,,,,,,,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU61492,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu61492,house,499000.0,4.0,hoboken,246.0,0.0,1.0,0.0,Not specified,,0.0,,,no flooding area,,On contract,0.0,,,,,,,,,,,20241125-0003451327-KNR-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU50511,https://immovlan.be/en/detail/residence/for-sale/2610/wilrijk/rbu50511,house,329000.0,3.0,wilrijk,116.0,0.0,1.0,0.0,Gas,Normal,364.0,,,no flooding area,,,,,,,75.0,,,,,,,20251002-0003670909-RES-2,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU50595,https://immovlan.be/en/detail/residence/for-sale/2600/berchem/rbu50595,house,665000.0,4.0,berchem,190.0,0.0,2.0,0.0,Gas,Normal,277.0,3.0,,no flooding area,0.0,On contract,0.0,"yes, certificate in accordance",,,125.0,860.0,,,,0.0,South,,,30.0,,,,"Residential zone (residential, urban)",,,,,30.0,,,,,,23 m,,,,,,,,,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU31064,https://immovlan.be/en/detail/residence/for-sale/2180/ekeren/rbu31064,house,399000.0,4.0,ekeren,166.0,0.0,1.0,0.0,Gas,Normal,244.0,2.0,,no flooding area,0.0,On contract,0.0,"No, certificate does not comply",,,257.0,826.0,,,,0.0,South,2797023,,,,,,"Residential zone (residential, urban)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU23697,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu23697,house,364000.0,3.0,hoboken,165.0,0.0,1.0,0.0,Gas,,156.0,,,no flooding area,,On contract,0.0,,,,265.0,,,,,0.0,South,20241010-0003408093-RES-1,,,,,,"Residential zone (residential, urban)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBU08868,https://immovlan.be/en/detail/residence/for-sale/2660/hoboken/rbu08868,house,795000.0,5.0,hoboken,535.0,0.0,2.0,0.0,Gas,Normal,231.0,3.0,,no flooding area,0.0,On contract,0.0,,,,798.0,3513.0,,,,0.0,South,20250807-0003654473-RES-1,,50.0,,,,"Residential zone (residential, urban)",,,,,210.0,,,,,,74 m,,,,,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
